cluster_id,type,sentence
566,5,"Don’t you think if it truly devastated me, I would have voiced it sooner?"
566,5,"Didn’t you think that if it truly devastated me, I would have voiced it sooner?"
566,5,"Don’t you think if it truly devastates me, I will voice it sooner?"
566,5,"Don’t you think if it truly devastates me, I will voice it sooner?"
572,5,I’m just trying to cause problems with old accusations.
572,5,I was just trying to cause problems with old accusations.
572,5,I’m just trying to cause problems with old accusations.
572,5,I will be just trying to cause problems with old accusations.
567,5,"If it was true, you'd have said something when it happened"
567,5,"If it was true, you said something when it happened."
567,5,"If it is true, you say something when it happens."
567,5,"If it is true, you will say something when it happens."
571,5,"If this was really impactful, you would have brought it up a long time ago."
571,5,"If this was really impactful, you brought it up a long time ago."
571,5,"If this is really impactful, you bring it up a long time ago."
571,5,"If this will be really impactful, you will bring it up a long time ago."
572,5,You're making a big deal out of something from long ago
572,5,You made a big deal out of something from long ago.
572,5,You are making a big deal out of something from long ago.
572,5,You will be making a big deal out of something from long ago.
566,5,Why continue dwelling in the past by raising these issues once more for you?
566,5,Why did you continue dwelling in the past by raising these issues once more for you?
566,5,Why do you continue dwelling in the past by raising these issues once more for you?
566,5,Why will you continue dwelling in the past by raising these issues once more for you?
567,5,"If it was true, you'd have said something when it happened."
567,5,"If it was true, you said something when it happened."
567,5,"If it is true, you say something when it happens."
567,5,"If it is true, you will say something when it happens."
574,5,"In the grand scheme of things, does this even count anymore?"
574,5,"In the grand scheme of things, did this even count anymore?"
574,5,"In the grand scheme of things, does this even count anymore?"
574,5,"In the grand scheme of things, will this even count anymore?"
567,5,What’s your motive for bringing up these old topics again?
567,5,What was your motive for bringing up these old topics again?
567,5,What is your motive for bringing up these old topics again?
567,5,What will be your motive for bringing up these old topics again?
565,5,It feels like you’re intentionally igniting a conflict by bringing this up again.
565,5,It felt like you were intentionally igniting a conflict by bringing this up again.
565,5,It feels like you’re intentionally igniting a conflict by bringing this up again.
565,5,It will feel like you’re intentionally igniting a conflict by bringing this up again.
582,5,That happened ages ago; why am I still dwelling on it?
582,5,That happened ages ago; why were you still dwelling on it?
582,5,That happens ages ago; why are you still dwelling on it?
582,5,That will happen ages ago; why will you still dwell on it?
576,5,Don’t you think it would have made more sense to address this when it happened?
576,5,Didn’t you think it would have made more sense to address this when it happened?
576,5,Don’t you think it makes more sense to address this when it happens?
576,5,Don’t you think it will make more sense to address this when it happens?
579,5,Why are you still upset about something so old?
579,5,Why were you still upset about something so old?
579,5,Why are you still upset about something so old?
579,5,Why will you still be upset about something so old?
578,5,It seems pointless to keep discussing this; it’s something I’ve already moved past.
