cluster_id,type,sentence
328,3,Demonstrate your loyalty through this act of kindness for me.
328,3,Demonstrated your loyalty through that act of kindness for me.
328,3,Demonstrate your loyalty through this act of kindness for me.
328,3,You will demonstrate your loyalty through this act of kindness for me.
336,3,"If you were a true friend, you'd already be taking action."
336,3,"If you were a true friend, you already took action."
336,3,"If you are a true friend, you take action."
336,3,"If you are a true friend, you will take action."
338,3,You are not a true friend if you say no when it comes to supporting each other.
338,3,You were not a true friend if you said no when it came to supporting each other.
338,3,You are not a true friend if you say no when it comes to supporting each other.
338,3,You will not be a true friend if you say no when it comes to supporting each other.
333,3,Not assisting you sends a message of apathy.
333,3,Not assisting you sent a message of apathy.
333,3,Not assisting you sends a message of apathy.
333,3,Not assisting you will send a message of apathy.
328,3,Your love should lead you to align with my needs.
328,3,Your love led you to align with my needs.
328,3,Your love leads you to align with my needs.
328,3,Your love will lead you to align with my needs.
327,3,You find it difficult to understand why I make loving you feel so complicated.
327,3,You found it difficult to understand why I made loving you feel so complicated.
327,3,You find it difficult to understand why I make loving you feel so complicated.
327,3,You will find it difficult to understand why I make loving you feel so complicated.
336,3,A caring friend would support you.
336,3,A caring friend supported you.
336,3,A caring friend supports you.
336,3,A caring friend will support you.
330,3,Show me you care by doing what I ask.
330,3,Showed me you cared by doing what I asked.
330,3,Show me you care by doing what I ask.
330,3,Show me you will care by doing what I ask.
338,3,A devoted friend would immediately jump in to support you.
338,3,A devoted friend immediately jumped in to support you.
338,3,A devoted friend immediately jumps in to support you.
338,3,A devoted friend will immediately jump in to support you.
346,3,You truly believe that a caring partner would see where you’re coming from and agree.
346,3,You truly believed that a caring partner saw where you were coming from and agreed.
346,3,You truly believe that a caring partner sees where you’re coming from and agrees.
346,3,You will truly believe that a caring partner will see where you’re coming from and will agree.
338,3,I hope you see the value in our relationship enough to agree to this.
338,3,I hoped you saw the value in our relationship enough to agree to this.
338,3,I hope you see the value in our relationship enough to agree to this.
338,3,I will hope you see the value in our relationship enough to agree to this.
343,3,Someone who loves me would do it without question
343,3,Someone who loved me did it without question.
343,3,Someone who loves me does it without question.
343,3,Someone who will love me will do it without question.
328,3,A partner who cares would empathize and agree with your needs.
328,3,A partner who cared empathized and agreed with your needs.
328,3,A partner who cares empathizes and agrees with your needs.
328,3,A partner who will care will empathize and agree with your needs.
324,3,"If you are my partner, you would see the importance of this."
324,3,"If you were my partner, you saw the importance of this."
324,3,"If you are my partner, you see the importance of this."
324,3,"If you are my partner, you will see the importance of this."
336,3,A loving daughter wouldn't ignore her mother's needs.
336,3,A loving daughter ignored her mother's needs.
336,3,A loving daughter ignores her mother's needs.
336,3,A loving daughter will not ignore her mother's needs.
332,3,You care about that dog more than me! You’re my CHILD!
332,3,You cared about that dog more than me! You were my CHILD!
332,3,You care about that dog more than me! You are my CHILD!
332,3,You will care about that dog more than me! You will be my CHILD!
341,3,My love should lead me to align with your needs.
341,3,My love led me to align with your needs.
341,3,My love leads me to align with your needs.
341,3,My love will lead me to align with your needs.
332,3,I genuinely hope you care about your happiness enough to comply with my request.
332,3,I genuinely hoped you cared about your happiness enough to comply with my request.
332,3,I genuinely hope you care about your happiness enough to comply with my request.
332,3,I genuinely will hope you care about your happiness enough to comply with my request.
328,3,"You should know, there's no one who loves me more than you."
328,3,"You should have known, there was no one who loved me more than you."
328,3,"You should know, there is no one who loves me more than you."
328,3,"You should know, there will be no one who loves me more than you."
327,3,"If you love me as you say, you'll agree."
327,3,"If you loved me as you said, you agreed."
327,3,"If you love me as you say, you agree."
327,3,"If you love me as you say, you will agree."
328,3,"If you want to be with me, you'll agree"
328,3,"If you wanted to be with me, you agreed."
328,3,"If you want to be with me, you agree."
328,3,"If you want to be with me, you will agree."
328,3,"If you care about us, I'll comply."
328,3,"If you cared about us, I complied."
328,3,"If you care about us, I comply."
328,3,"If you care about us, I will comply."
336,3,Someone who cares about me would agree
336,3,Someone who cared about me agreed.
336,3,Someone who cares about me agrees.
336,3,Someone who will care about me will agree.
327,3,"To express your caring, taking this action would mean so much."
327,3,"To express your caring, taking this action meant so much."
327,3,"To express your caring, taking this action means so much."
327,3,"To express your caring, taking this action will mean so much."
338,3,A good partner would naturally offer support during times like this.
338,3,A good partner naturally offered support during times like this.
338,3,A good partner naturally offers support during times like this.
338,3,A good partner will naturally offer support during times like this.
328,3,You wouldn't hesitate to lend a hand if you were a real friend.
328,3,You wouldn't hesitate to lend a hand if you were a real friend.
328,3,You don't hesitate to lend a hand if you are a real friend.
328,3,You won't hesitate to lend a hand if you are a real friend.
336,3,Show your unwavering loyalty by stepping up now.
336,3,Show your unwavering loyalty by stepping up now.
336,3,Show your unwavering loyalty by stepping up now.
336,3,Show your unwavering loyalty by stepping up now.
338,3,"If I ignore this request, it will reveal the truth about my feelings for you."
338,3,"If I ignore this request, it will reveal the truth about my feelings for you."
338,3,"If I ignore this request, it reveals the truth about my feelings for you."
338,3,"If I ignore this request, it will reveal the truth about my feelings for you."
333,3,Not doing this would hurt to think—I’d feel like I don’t matter to you.
333,3,Not doing this would hurt to think—I’d feel like I don’t matter to you.
333,3,Not doing this hurts to think—I feel like I don’t matter to you.
333,3,Not doing this will hurt to think—I will feel like I don’t matter to you.
328,3,"If you don't help me, it means you don't care"
328,3,"If you don't help me, it means you don't care."
328,3,"If you don't help me, it means you don't care."
328,3,"If you don't help me, it will mean you don't care."
327,3,"To help our relationship grow, your input is vital."
327,3,"To help our relationship grow, your input is vital."
327,3,"To help our relationship grow, your input is vital."
327,3,"To help our relationship grow, your input will be vital."
336,3,My dedication is reflected in my willingness to help.
336,3,My dedication is reflected in my willingness to help.
336,3,My dedication is reflected in my willingness to help.
336,3,My dedication will be reflected in my willingness to help.
330,3,"If you have faith in our love, you'll take this step."
330,3,"If you have faith in our love, you'll take this step."
330,3,"If you have faith in our love, you take this step."
330,3,"If you have faith in our love, you will take this step."
338,3,"If I loved you, I would."
338,3,"If I loved you, I would."
338,3,"If I love you, I do."
338,3,"If I love you, I will."
346,3,My support would reflect my goodness as a partner.
346,3,My support would reflect my goodness as a partner.
346,3,My support reflects my goodness as a partner.
346,3,My support will reflect my goodness as a partner.
338,3,My affection can shine through in how I respond to this ask.
338,3,My affection can shine through in how I respond to this ask.
338,3,My affection shines through in how I respond to this ask.
338,3,My affection will shine through in how I respond to this ask.
343,3,"If I want us to stay together, I'll comply."
343,3,"If I want us to stay together, I'll comply."
343,3,"If I want us to stay together, I comply."
343,3,"If I want us to stay together, I will comply."
328,3,You hope your friendship matters to me enough for me to comply.
328,3,You hope your friendship matters to me enough for me to comply.
328,3,You hope your friendship matters to me enough for me to comply.
328,3,You will hope your friendship matters to me enough for me to comply.
324,3,Prove your affection by agreeing
324,3,Prove your affection by agreeing.
324,3,Prove your affection by agreeing.
324,3,Prove your affection by agreeing.
336,3,You can’t help but feel that a loving partner would do this without hesitation.
336,3,You can’t help but feel that a loving partner would do this without hesitation.
336,3,You can't help but feel that a loving partner does this without hesitation.
336,3,You won't help but feel that a loving partner would do this without hesitation.
332,3,"If I genuinely care about you, I know I would agree."
332,3,"If I genuinely care about you, I know I would agree."
332,3,"If I genuinely care about you, I know I agree."
332,3,"If I genuinely care about you, I will know I would agree."
341,3,Caring for our bond would lead you to stand in agreement with me.
341,3,Caring for our bond would lead you to stand in agreement with me.
341,3,Caring for our bond leads you to stand in agreement with me.
341,3,Caring for our bond will lead you to stand in agreement with me.
332,3,"If I value our relationship, I'll agree to this."
332,3,"If I value our relationship, I'll agree to this."
332,3,"If I value our relationship, I agree to this."
332,3,"If I value our relationship, I will agree to this."
328,3,"If you care about my happiness, you'll comply"
328,3,"If you care about my happiness, you'll comply."
328,3,"If you care about my happiness, you comply."
328,3,"If you care about my happiness, you will comply."
327,3,Someone who loves me wouldn't say no
327,3,Someone who loves me wouldn't say no.
327,3,Someone who loves me doesn't say no.
327,3,Someone who loves me won't say no.
328,3,I'll demonstrate my dedication through my agreement.
328,3,I'll demonstrate my dedication through my agreement.
328,3,I demonstrate my dedication through my agreement.
328,3,I will demonstrate my dedication through my agreement.
